"LAT","LONG"
49.987,142.157883
49.964722,143.263031
49.822498,142.154556
49.770195,144.087326
49.668335,144.100281
49.591389,142.806671
49.585056,142.152634
49.461529,142.852249
49.40889,142.253922
49.356888,142.855911
49.348083,140.044891
49.317749,143.709229
49.31686,143.446747
49.300556,143.317551
49.276833,143.977829
49.270027,142.07309
49.222946,142.097473
49.203472,142.890472
49.142445,144.248032
49.100529,142.948059
48.992085,142.124756
48.973389,142.957748
48.949722,142.210281
48.929943,141.987701
48.891361,142.030411
48.890999,142.267578
48.828804,141.925995
48.778305,144.682922
48.733891,142.838257
48.691444,142.273163
48.662304,141.88797
48.632721,142.771255
48.607918,140.154831
48.576557,142.746246
48.573807,142.181915
48.419193,142.089691
48.362946,142.671524
48.325695,142.147781
48.249943,142.158615
48.09811,142.54216
48.076,142.183945
47.981556,139.541809
47.877918,142.467087
47.852779,142.098328
47.643391,139.179443
47.635918,142.585999
47.587723,138.396332
47.499889,142.686279
47.405224,142.813522
47.335609,142.550415
47.311554,142.076218
47.295696,142.965744
47.266945,138.458221
47.148777,138.71431
47.013805,142.714447
47.011166,138.501328
46.947083,142.238144
46.938835,142.00766
46.84486,142.28569
46.815613,143.219894
46.759277,142.743942
46.715916,142.74942
46.709389,143.151993
46.68261,138.34491
46.620724,142.430588
46.606777,143.129227
46.53936,138.325943
46.488834,143.357086
46.441971,142.341415
46.424999,141.856613
46.382915,143.527695
46.358833,142.290161
46.358139,143.35817
46.285999,141.896057
46.254002,138.098083
46.18861,142.23616
46.053139,141.935577
46.029724,142.173187
45.906418,142.076691
45.542194,148.773026
45.529415,148.672272
45.460388,148.853836
45.440887,148.552109
45.33886,148.847107
45.330528,148.647354
45.260113,148.268005
45.249054,148.168915
45.24511,148.193756
45.099998,147.57045
45.089169,147.581772
44.90086,131.958923
44.887611,132.09845
44.881474,131.583313
44.880028,131.169998
44.761391,131.425858
44.69836,134.707169
44.65139,133.740692
44.596584,131.533218
44.571499,131.737396
44.544056,133.511612
44.450806,131.76622
44.387749,134.090469
44.341362,134.338272
44.328056,134.95311
44.298084,133.721893
44.291668,131.343781
44.288887,134.763031
44.247334,132.421951
44.241085,133.858505
44.181252,131.698364
44.145695,133.053223
44.090057,133.229385
43.958694,133.054199
43.944248,134.804535
43.897141,133.939087
43.879444,131.364868
43.764111,132.944687
43.750862,131.668411
43.699554,134.740112
43.606556,131.313034
43.568474,134.629257
43.494305,131.323563
43.486584,133.352951
43.452137,131.776611
43.445026,132.239304
43.442944,131.926636
43.351418,132.755646
43.343334,134.79509
43.299,131.599808
43.298306,134.598587
43.2845,134.246979
43.21703,134.389893
43.212833,132.606506
43.190693,131.495529
43.184418,132.887085
43.16864,133.762772
43.063667,134.174301
43.043804,131.532166
43.031555,131.846451
42.927307,131.319809
42.904251,133.701172
42.879444,132.334442
42.86739,131.375137
42.857307,132.688858
42.768806,133.278885
42.710194,130.784943
42.639278,131.12619
44.972305,147.906586
44.96439,147.473251
44.952446,136.553284
44.933334,147.439392
44.933083,136.197357
44.906834,135.049255
44.891056,147.372894
44.871887,147.315948
44.816444,147.556137
44.804474,147.263367
44.79364,147.201996
44.789196,136.302505
44.785027,147.486557
44.773582,147.146912
44.768112,147.202301
44.726223,147.369659
44.71114,135.814499
44.642223,136.198746
44.633972,147.192947
44.630222,147.10997
44.598278,147.250671
44.569416,147.10997
44.495583,147.019913
44.426418,146.277618
44.397388,135.401413
44.375805,146.45108
44.268276,146.172729
44.258915,135.319244
44.207111,146.044937
44.194832,145.856079
44.035641,135.392914
43.929749,145.547836
43.874584,135.443359
43.849888,135.252136
43.820473,146.719421
43.820137,135.034912
43.814861,146.891586
43.806416,145.417618
43.715416,146.652725
43.524918,146.072922
68.755585,29.322445
66.969276,29.186945
61.404861,29.773611
61.048111,28.930666
60.969196,29.123528
60.775223,28.609972
60.571304,29.887251
60.469387,29.284334
60.302418,28.658722
81.793419,58.008221
80.803886,47.42025
80.351524,52.884445
75.885887,59.213028
74.942413,56.464359
74.413582,59.284863
73.333778,54.326611
73.26358,56.401695
73.239082,56.705971
72.423309,55.431778
72.37014,52.73875
71.610725,52.43861
71.532555,52.327694
70.401413,58.791363
69.720337,33.084805
69.538002,31.965361
69.413971,33.101471
69.322197,34.336056
69.292473,32.82122
69.285583,34.230751
69.163307,35.827194
69.158058,35.176861
69.042419,35.761917
69.024002,36.431915
68.914192,36.799778
68.824692,32.674583
68.812057,33.126167
68.795418,57.988304
68.650749,43.294666
68.642998,31.649027
68.638,33.212776
68.619392,37.774582
68.610527,31.804251
68.593941,56.183666
68.587639,56.573334
68.583389,52.342861
68.576752,55.820026
68.478554,55.263443
68.354889,33.307388
68.350082,38.395527
68.244247,54.560665
68.226997,44.260223
68.207138,54.260502
68.143219,39.761806
68.118225,54.20211
68.056137,49.96347
68.05278,39.479279
68.048691,54.140194
68.038864,52.980194
68.035027,44.251888
68.01075,35.010612
67.976471,39.832138
67.954086,53.741611
67.886864,53.213139
67.879387,34.153168
